Prefix	Stem	Tone	POS	Class	Gloss
	pHuzu	HL	n	10	sour wild raisins from some tree
	pijama	LHL	n	9	pyjamas
	pika	LL	v		carry one on shoulders
	piki	HL	n	9	pick, sharpened metal used for digging
i	pikiri	HHL	n	7	nail
	pilisi	HHL	n	9	pill or tablet
m	pimbila	HHL	n	3	shin of leg, from below the knee down to the ankle
	pindiwa	LLL	v		being passed by
m	pini	HL	n	3	axe or hoe handle
	piphila	LLL	v		pour something from one container into another
	pisa	HL	v		burn; set alight
i	piti	HL	n	7	speed
	pitikautu	HHLLL	n	7	petticoats
	pitiroli	HHLL	n	9	petrol
	pitsi	LH	n	9	water pits; boreholes
	pitugwa	LLL	v		be overturned
	pituka	LLL	v		roll over
	pitukana	LLLL	v		overturn several times; turn and toss, as a sick person
	pitula	LLL	v		make overturn
	piya	HL	v		trip someone; hold a goat's leg under one's knee while milking it
	pkha	H	v		dry up, as of a pool of water or a well
	pkhanya	LL	v		break
	pkhaya	LL	v		to remove extra chaff from grain by pounding it again
	pkhita	LL	v		pull back forcibly; draw forcibly; snatch
	pkhizi	LL	n	9	sheep
chi	po	H	n	7	gift or present
	poba	LL	v		flatten, as of a tyre or disappear, as of a swelling
	pobedza	LLL	v		impress, as with a finger; press; cause to dent
	pobedzeka	LLLL	v		become impressed; be dimpled
	podza	HL	v		cause to heal
bu	pofu	LL	n	14	blindness
	pofunuka	LLLL	v		recover one's sight
	pofupala	LLLL	v		become blind
	poga	HL	adj.		different
i	poko	HL	n	7	spoke, as on the wheel of a bicycle
	pola	HL	v		be healed; get well after some sickness
	poloni	LHL	n	9	polony
m	polotiki	LLHL	n	1	politician
	pomba	HL	v		wind something, as a thread
	pombedza	HHL	v		wrap round
	pombonoka	HHHL	v		become untwisted
	pombonola	HHHL	v		untwist; unwind
	pompi	LH	n	9	water tap; pump
i	ponchi	HL	n	7	sponge
i	poni	HL	n	7	mirror
	poni	HH	adv.		where
	pontela	LLL	v		find water underground where a well can be bored
	poraimari	LHHLH	n	9	primary, as a primary school
i	poro	HL	n	7	rail; railway line
	porodza	LLL	v		miscarriage, as of an animal
	porofita	LLLL	v		prophesy
m	porofiti	LLHL	n	1	prophet
bu	porofiti	LLHL	n	14	prophecy
	posa	LL	v		throw, as a stone; shoot
m	posi	LL	n	1	one who's good at aiming a gun
	pota	HL	v		feel cold; to freeze from the cold
	poteledza	HHHL	v		make go around something 
	poteleka	HHHL	v		surround; to go round something 
	potesa	HHL	v		cause to feel cold
	potola	HHL	v		wipe oneself after stool
	psa	H	adj.		new
	psa	H	v		to burn
li	psa-badzimu	HHLL	n	11	burn on the skin, believed to be a burn by the dead ancestors; the will of the wisp
m	psarara	LLL	n	3	fowl excrete
	psayila	HHL	v		sweep
ma	psigwa	HL	n	6	burnt food
	psila	HL	v		burn onto, as a pot
	pubula	HHL	v		to cut open something; pierce through
i	puku	HL	n	7	ghost
	pukusha	LLL	v		blend, as when one puts corn flour into boiling water to make porridge
m	pukusho	LLL	n	3	traditional blender made from a stick
	pula	HH	v		thresh corn or sorghum using threshing sticks; hit hard
	pulana	HHL	v		hit each other hard; palpitate, as the heart
i	pule	HL	n	7	cooked red beans
	pulula	LLL	v		remove leaves from a branch
m	pululu	HHH	n	3	ululation
	pululudza	HHHL	v		ululate
	puma	HL	v		be blunt, as of a knife
	pumisa	HHL	v		cause to be blunt
	puna	LL	v		bend over in an indecent manner 
i	pungu	HH	n	7	an eagle
	pupelo	HHL	n	9	woman's womb
	pupuna	HHL	v		chew noisely something hard, as of candy
	pupunika	HHHL	v		crunchable, as a nut
i	pura	HL	n	7	low stool
	purapura	LLLL	n	9	loose garment
	puta	LL	v		kiss; sip
	putanya	LLL	v		crush or flatten, as of a can by squeezing hard
m	puto	LL	n	3	cooked soft sour porridge later fermented to make beer
m	puzu	HL	n	3	type of tree that bears sour wild raisins
mo	rabaraba	LLLL	n	3	traditional chess; draughts game
	raisi	LHL	n	9	rice
	rantafuli	LHHH	n	9	roundavel; a big thatched house
	ratha	LL	v		to strike hard, as with a hand
	renke	LL	n	9	rank
	rente	LL	n	9	rent
	repa	LL	v		become slack or loose
chi	repuli	LHL	n	7	porch; step; an embarkment around a hut
n	rero	HL	n	3	discussion, in private; a secret meeting
	resiti	LHL	n	9	receipt
	reza	HL	n	9	razor blades
	ri	H	n	5	single small denomination of money
ma	ri	H	n	6	money
ma	rila	HL	n	6	sour milk
	riya	HH	v		delay; make late
	rokotsa	LLL	v		sucking of milk, as a calf
chi	romo	HL	n	7	infected sores; food not eaten by young people if older people are present, e.g. kidneys
ma	romu	HL	n	6	border of ploughed land
	romula	LHL	v		cause a span of oxen to turn round when ploughing
bu	rotho	HL	n	14	bread
chi	rotswani	LLL	n	7	black quarter evil, illness common in cattle
n	ruba	HL	n	3	heifer
	ruela	HHL	v		pay; reward
bu	rukwi	HL	n	14/6	trouser; pants
	rusa	LL	v		be pregnant, of an animal; be in calf or lamb
	rusi	HL	n	9	rust
bu	ruthu	HL	n	14	loneliness; boredom
	rwabha	LH	n	9	whip
	sa	L	comp.		like
	sabasi	HHL	n	9	red soil
bu	sada	LH	n	14	carelessness; clumsiness; uncleanliness
	sada	LH	n	9	careless person
	safari	LHL	n	9	safari suit
	sagwa	HL	v		oversleep
	saili	HHL	n	9	canvas; sail
	saina	HHL	v		to sign
	sainisa	HHHL	v		cause to sign
	saka	HL	n	5	sack
	sala	HL	v		remain behind
	sale	HL	n	9	saddle
	salila	HHL	v		be last to finish; remain for
ma	salila	HHH	n	6	remnants of food
	salisa	HHL	v		cause to remain; say goodbye
	samente	LHH	n	9	cement
	sapa	HL	n	5	insult; curse
n	sapo	LL	n	3	type of tree
	sasi	HL	n	9/10	sparks
	sazamila	HLHL	v		have a pillow under one's head when you sleep
n	sazamilo	HLHL	n	3	pillow; cushion
ma	se	L	n	6	spongy bone tissue; the edible part of the bone
	se	L	n	5	soft edible part of a bone
	seba	HH	v		whisper; gossip
	seba	LL	v		relish with; use a sauce
bu	sebo	LL	n	14	relish
i	sechana	LLH	n	7	small basket
	seche	HL	n	10	small grain that is left in the corn flour when winnowed or sifted
n	seche	HL	n	3	sand, of a river or an ocean
i	seche	LL	n	7	basket
	sedza	LL	v		shift; move out of the way
	sedzasedza	LLLL	v		shift about while sitting; restlessness
	sedzela	LLL	v		come or move closer
	sedzesa	LLL	v		move something; move out of the way
	sefa	HH	v		sift or strain
	sefo	HL	n	9	strainer
	seka	LL	v		laugh
	seka	LL	n	5	bracelet
	sekaseka	LLLL	v		giggle
	sekelana	LLLL	v		laugh with each other
	sekeresi	HLHL	n	9	cigarette
i	seko	LL	n	7	laughter
	seli	HL	adv.		across; the other side of a river; abroad
lu	selo	LL	n	11	flat winnowing basket
	selo	LL	n	10	winnowing baskets
	seme	LH	n	9/10	basket
	sena	LL	v		go under or beneath as under a low tree; creep through a wire
	sendama	HHL	v		to lean against
	sendedza	LLL	v		stir up the fire
	sendedzela	LLLL	v		stir up for; provoke into action
	sendeka	HHL	v		put leaning
	senete	LHL	n	9	senate
	senga	LL	v		carry
	sengela	LLL	v		carry for
	sengesa	LLL	v		cause or help to carry
	senke	HH	n	5	corrugated iron sheet
	sente	HL	n	5	cent
n	senya	LL	n	3	sandy soil with a loose texture
	senyana	LHH	n	9	small basket
dzi	serekisi	HHLL	n	10	circus; spectacular performance
n	sesanyama	HHLL	n	3	type of tree
n	sha	H	n	3	low wall or enclosure in a home; courtyard; family
bu	shaba	HH	n	14	redness
	shaba	HH	adj.		red
	shaba	LL	v		cut up a melon for cooking or drying up
	shababa	HHL	v		slightly bitter; sour
lu	shabana	LLH	n	11	small baby
	shabapala	HHHL	v		become red; blush
	shache	HL	n	9	gap between the two front teeth
	shadza	LL	n	5	porridge
	shaima	LHL	n	9	type of wild plant
	shaka	LH	n	5	bird's nest
	shaka	LL	v		look for; search; seek; want
	shakadza	LLL	v		make old or wear until old
	shakadzila	LLLL	v		used idiomatically to mean giving used clothes to someone
	shakala	LLL	v		become old or worn out
	shakaladzwa	HHHH	n	10	type of wild fruit
n	shakaladzwa	HHHH	n	3	type of tree
	shakHwana	LLH	n	5/6	small axe
	shakisisa	LLLL	v		to search a lot; to scrutinize
	shakiwa	LLL	v		be looked for; be asked for your hand in marriage; be proposed for marriage
	shakula	LLL	v		weed; use a hoe to remove weeds
	shakulisa	LLLL	v		help weed; cause to weed
	shala	LL	v		choose; select
ma	shali	HL	n	6	pebbles; gravel
n	shamba	LL	n	3	type of tree
	shambga	LH	n	9	dirt
	shambo	LL	n	5	wilddog
	shamu	LH	n	9/10	cane; lash
n	shana	HL	n	3/4	placenta of an animal
	shanduka	LLL	v		turn back or round; change
	shandukila	HHHL	v		wear a garment inside out
	shandukila	LLLL	v		turn against; turn for
	shandukunula	HHHHL	v		turn inside out, as of a garment
	shandula	LLL	v		answer or reply ; turn over, as food when cooking
	shandulo	LLL	n	9/10	answer; reply
	shanga	HL	n	10	steamed mixture of corn and beans; eyeballs; alphabetical letters
lu	shanga	LL	n	11	reed; stalk of a herbaceous plant; straw;  stalk of corn
	shangamidzo	LLLL	n	9	act of meeting someone
	shangana	LLL	v		meet each other
	shangana-nsholo	LLLHH	v		br confused; be insane
ma	shanganilo	LLLL	n	6	meeting point, as of roads; joints
	shangano	LLL	n	9	meeting
	shanganya	LLL	v		cause to meet; mix
	shanganyila	LLLL	v		be in joint ownership
	shangashangana	LLLLL	v		be jumbled; be entangled; be mixed up
	shango	HL	n	9	country; land; earth; the world
	shangu	LH	n	9/10	shoes; boots; sandals
n	shangule	LHL	n	3	blue bush 
n	shanje	LL	n	3	green grass
	shanu	HL	num.		five
	shanyashanya	LLLL	v		drizzle
	shanyuka	HHL	v		start getting done, as when pounding corn; of a fruit starting to get ripe
	shanyula	HHL	v		get half done as when threshing corn or stamping corn in a mortar
	shapaila	HHHL	v		boil for a long time
ma	shapkha	LH	n	6	tasteless food
n	shasha	LL	n	3	makeshift dwelling structure made from tree branches
	shashamuka	HHHL	v		fall off, as of tree leaves during the winter
	shashamula	HHHL	v		brush off or dust off
	shashika	HHL	v		place by the side of the fire
	shashula	HHL	v		dish some food or eat from a pot while cooking
	shatHa	HH	v		be happy; be glad; rejoice
	shatHiso	HHL	n	9	cause for happiness
	shatHo	HH	n	9	happiness
	shatHu	LL	n	5	axe
	shato	HL	n	9	python
	shawara	HHH	n	9	shower
	shaya	LH	n	10	cheekbones; petty talk
	shaya	LL	v		become poor; give birth to a stillborn; not find anything
lu	shaya	LH	n	11	jaw; a cheekbone
n	shayi	LL	n	1	poor person; a destitute person
bu	shayi	LL	n	14	poverty
	shazha	HH	v		simmer or boil, as of a pot of soft porridge
n	shazho	HH	n	3	over-zealousness
bu	she	H	n	14	chieftainship
	she	H	n	1a/2a	chief
	shima	HL	v		hate; abhor; dislike
	shinga	LL	v		work
n	shingi	LL	n	1	worker; an employee; a labourer
	shingidzana	LLLL	v		cooperate; work together
n	shingo	LL	n	3	work; employment
n	shito	LL	n	3	sprouted corn flour boiled for making traditional beer
	shiya	LL	v		show off; think highly of oneself
	shoba	HL	v		be stale, as of bread or food
n	shobi	HL	n	1	one who sets the tune; the leading voice of a choral group
	shobola	LLL	v		pound grain in mortar to remove roughage 
n	shodzi	HL	n	3	tear
	shogwana	HLH	n	10	grain from sifted ground corn or sorghum
	shoko	LH	n	7	monkey
	shola	HL	v		check on someone or something
n	sholo	HL	n	3	head
	shoma	LL	adv.		much
	shomanana	LLHL	adv.		few
	shomoka-moyo	LLLLL	v		feel pity; sympathize
	shomola	LLL	v		pull out; unsheath; draw out; extract
	shomola-moyo	LLLLL	v		incite pity; pathetic
	shomu	LH	n	9/10	nuts from dry plums from a sclerocarya caffra tree
	shondo	LH	n	9	penis
	shongoti	HHH	n	9	first internode or topmost internode of a sweet reed or corn stalk
	shongozhela	HHHL	v		rejoice with others; be in jolly mood in a group of others
	shongwe	LL	n	9	rock
	shoni	HL	n	7	hedgehog
	shoni	HL	n	10	shyness; shame
	shonja	LH	n	5	edible grub that feeds on the leaves of a mopane tree
	shosha	LL	v		fence in with tree branches
	showa	LH	n	10	marks made on the face of a baby with eye problem
	showela	LLL	v		tuck in, as a shirt into one's pants
	shozhedza	HHL	v		cause to peep; cause to look into
	shozhela	HHL	v		look into; peep through, as through the window
	shuba	LL	v		desire; wish for
	shubo	LL	n	9	desire; longing
	shudza	LL	v		walk with a limp; hobble about
bu	shudzi	LL	n	14	portent; mysterious happening
i	shudzi	LL	n	7	lewd person
	shugwana	LLH	n	7	small hare
	shula	LL	v		portend
	shule	HL	adv.		behind; after; afterwards
	shuleshule	HLLL	adv.		long after
	shulo	LL	n	7/2a	hare
	shumba	HL	n	9/10	lion
bu	shungu	HH	n	14	poison
	shunya	LL	v		pinch
	shunyiwa	LLL	v		be pinched
	shushubala	HHHL	v		become silent and reserved
chi	shwa	H	n	7	bundle of thatching grass
	shwa	L	v		remain for a day
	shwaiwa	LLL	v		be poked at 
	shwaya	LL	v		hook out; poke at
	shwelela	LLL	v		do  something for the whole day
	shweshwana	LLL	v		creased; crumpled
	shweshwanya	LLL	v		cause to be creased or crumpled
bu	si	H	n	14	smoke
n	si	H	n	3	particular day
n	si	L	n	3	pestle; a stamping pole or stick
pa	si	H	n	16	ground
	siang'wa	HHH	n	5	orphan
n	siba	HL	n	3	feather
	siila	HHL	v		give water or something to drink; leave food for someone
	siisa	HHL	v		cause to leave behind
	sika	LH	n	10	small round marks on the arms made by burning the skin
	sika	LL	v		make fire by rubbing two sticks against the other to produce some sparks out of the friction
i	sikalala	HHHH	n	7	wooden torch; a burning piece of wood
ma 	sikati	HHL	n	6	daytime
	sikidzi	HHL	n	9	bed bug
	sikili	HHH	n	9	sickle
bu	siku	HL	n	14/6	night
	silinga	HHL	v		make noise; to irritate
	silivara	HHLH	n	9	silver
n	silizi	HHH	n	3	dried mark of dirty water on ones body, as on the legs
	sima	HH	adj.		difficult
	sima-moyo	HHHL	adj.		bravity; hardhearted
	sima-nsholo	HHHH	v		be stubborn
	simausu	LLHL	n	7	hawker's small caravan or tin house where he/she sells the merchandise
	simba	LH	n	5	strength; power
	simba	HL	n	9	genets; members of the genet family
ma	simba	LH	n	6	strength; power
	simbe	LL	n	9/10	lazy person
bu	simbe	LL	n	14	laziness
	simbe	LL	n	5	coal, hot or cold
	simula	HHL	v		uproot
	simulula	HHHL	v		begin
	sina	LH	n	9	type of grass used for thatching; a mould or ball of mud used in plastering
	sindi	HH	n	7a/2a	a squirrel
n	sindo	HL	n	3	echo
	sinyanga	HHL	v		to mould mud used for plastering into large balls
i	sipa	HH	n	7	soap
n	sipili	HHH	n	3	walking pace; journey
	sirila	LLL	v		to massage; rub hard
	sisila	LLL	v		trot
	sitila	HHL	v		obstruct one's view; to shadow someone
ma	situ	HL	n	6	soot
	siya	HL	v		leave behind
	siye	LL	n	9	eyebrow
	siza-fulo	HLHL	v		foam at the mouth
	so	H	n	9/10	kidney
bu	so	H	n	14/6	face
n	so	H	n	3	light chaff from harvested grain
chi	so	H	n	7/8	face
	soba	LL	v		slide; move timidly while seated; move while asleep
	sodzoloka	LLLL	v		slide; slip; break a promise
	sodzolokesa	LLLLL	v		be slippery; cause to slip
	sokisi	HHL	n	5	sock
	sokonyola	HHHL	v		sway one's waist from side to side, as when walking
	sokosa	HHL	v		rub an eye with a finger or the back of the hand
	sola	HL	n	9	sole of a shoe
	sole	HL	n	9	hairy small worm that eats dried meat or biltong
	sole	LL	n	5	soldier
chi	sole	LL	n	7	military
	sonyoka	HHL	v		sprain
	sopHedzela	HLHL	v		milk a cow or goat to the last drop; being sucked dry
	sopo	HL	n	9	soup; gravy
	sosara	HHH	n	9	cup saucer
n	su	H	n	3	Acacia giraffe tree
	suba	LL	n	9	vagina
	subuka	LLL	v		rub or wear off; peel; have abrasion
	subula	LLL	v		fray; make the skin peel off; rub off, as paint etc.
	sudhu	LL	n	5	maize cob without the grain
	sudza	LL	v		do something iritating to someone intentionally
	sudzi	LL	n	5	flatus
	sudzika	LLL	v		be fixed right by someone for something you did
	sukesuke	HHHL	n	9	 flat poisonous centipede
bu	sukwa	LH	n	14	beer
	sula	LL	v		fart; release bad air per rectum
	sulisa	LLL	v		cause to fart or release bad air
	suma	LL	v		make a noise, a pot cooking, a river or a wind
	sumbika	LLL	v		hide; conceal
	sumbula	LLL	v		make oneself dirty by playing on the ground
	sunda	LL	v		force; push away; push a thing on the ground
	sundu	LH	n	5	skin shed by a snake or reptile 
	sunga	HL	v		bind or tie as of a rope
	sungana	HHL	v		be intertwined; tie each other
	sungilila	HHHL	v		tie onto  something
	sungisa	HHL	v		cause to tie; make one get caught by the police
n	sungo	HL	n	3	rope
	sungunuka	HHHL	v		become untied; be free
	sungunuko	HHHL	n	9	liberty; freedom
	sungunula	HHHL	v		untie; remove a bandage; unwrap
	sunula	LLL	v		castrate
n	supi	LL	n	1	witness
bu	supi	LL	n	14	evidence; testimony
n	susu	HH	n	3	type of tree
	susubula	HHHL	v		press clothes poorly such that the wrinkles remain
	sutu	HL	n	9	suit
	swaba	LL	v		wither; dry up a little;  be disappointed; have one's hopes dashed
li	swabi	LH	n	11	dried sweet reeds; dried fruits
	swabiya	HHH	n	5	albino
	swai	HL	n	9	saw
chi	swai	LH	n	7	shredded meat
	swaki	HL	n	5	barrel
n	swani	LL	n	3	contents of animal stomach
	swanja	HL	n	9/10	sour plum
n	swanja	HL	n	3	sour plum tree; ximenia and caffra
	swaswabula	HHHL	v		beat; thrash, as of a child
	swaya	LL	v		shred meat when cooked
n	swazwi	HL	n	3	type of tree
	swazwi	HH	n	5	cut bush, sometimes used for making a fence
	sweswa	LH	n	5	large jet black ant
	swewuka	LLL	v		be stupid
	swiila	HHL	v		have sex, of humans (derogatory)
	swika	LL	v		arrive
	swikidza	LLL	v		see to it that someone arrives
	swikidzana	LLLL	v		to arrive at the same time
	swikila	LLL	v		to reach up to something; stay at
	swikiri	HHL	n	9	sugar
	swimbo	HH	n	9	knobkerrie; stick with a large knob or head at one end; a bat or club
	swina	LL	v		press out the contents of a tube; press out pus from a sore; squeeze water out of clothes
n	swing'wa	LH	n	3	a type of tree
	swinga	HL	n	9	type of bird with a long thin neck, said to have very tasty meat
	swinga	HH	n	5	bundle, as of firewood
i	swino	HL	n	7	filter, the type used for straining traditional beer
	swinya	LL	n	5	male genital
	swipa	HL	v		suck something into the mouth
	swiswina	HHL	v		suck, as a candy
bu	t'ala	LH	n	14	green; blue
	t'ala	LH	adj.		blue; green; raw; unripe
	t'imela	HHH	n	5	stray domestic animal
i	t'ina	HL	n	7/8	brick
	t'ina	LL	v		irritate; hurt someone; anger someone
	t'ut'o	HL	n	9	education
i	t'wilo	HL	n	7	chair
chi	ta	H	n	7/8	enemy
	taba	HH	v		protect by medicine
i	tachi	HL	n	7	starch
	tadziveisi	HLLHL	n	1a	boxer
	tafula	HHL	v		make an even grass thatch; smoothen grass thatch
	tafuli	HHL	n	9	table
	tafuna	HHL	v		chew; masticate
	taka	HH	v		color using coloring pencils
	takana	HHL	v		splash about of soft porridge on fire
mo	takasi	LHL	n	3	electricity
	takhwa	HL	adv.		before
	takhwa	HH	v		be chased away; be expelled
n	tako	HL	n	3	crayon; coloring pencil
	takula	LLL	v		drive cattle or livestock
	talangana	HHHL	v		to spread out
	talanganya	HHHL	v		cause to spread out
n	talo	HL	n	3	line
	tamati	LHL	n	9	tomato
	tamba	HL	v		skip about, as young animals
n	tamba	LH	n	3	large sour monkey plum tree
i	tamba-pHou	LLHL	n	7	creeper plant that bears white thorns
	tambika	HHL	v		hang over something
n	tambo	LL	n	3	string; cord
	tambunudza	HHHL	v		stretch out, as a blanket
	tambunuka	HHHL	v		be straight, as a path or a line; be upright and straight as a pole
	tanatu	HLH	num.		six
	tanda	LL	v		sew with big stitches, or stitches that are far apart
i	tanda	HH	n	7	endearment, used to refer to a young girl
	tandabadza	HHHL	v		cause to spread out as of the roots of a tree; cause one to sit with legs stretched out 
	tandabala	HHHL	v		to spread out as of tree roots, or as of ones legs stretched out.
	tandabalila	HHHHL	v		sit with legs stretched out towards another
	tang'	H	n	9/10	pincer; tweezers
	tanga	HL	v		be first
	tangila	HHL	v		to arrive first or finish first
	tangisa	HHL	v		begin; cause to be first
	tanka	HH	n	9	tank
	tantabe	HHL	n	7a/2a	species of lizard or an agama
lu	tapa	LH	n	11	sewing machine
i	tapa	HL	n	7	 wedding ceremony
	tapHula	HHL	v		harvest fruit or greens from the plant
	tapudza	HHL	v		lessen; subtract
	tapudzo	HHL	n	9	decrease; reduction; a subtraction
i	tarada	HHH	n	7	street
	tarata	HHH	n	9	fence; wire
	tasilibomo	HHLHL	n	9	harness
	taswa	HH	v		mount, as a horse
	tata	HH	v		chase away
bu	tata	HH	n	14	chicken lice
i	tatalala	LLLL	n	7	argumentative person
	tatamidza	HHHL	v		cause to chase or run after
	tatamila	HHHL	v		to chase or run after; to drive away
	tate	LH	n	1a	father
	tatHa	LL	v		climb; ride
	tatHana	LLL	v		climb or mount each other
	tatHanya	LLL	v		put one on top of the other
n	tathi	LL	n	1	climber
	tathikana	LLLL	v		be pilled one on top of the other; be in layers; lie on top of the other
	tatHikanya	LLLL	v		pile on top of the other
	tatHilila	LLLL	v		climb for; ascend to the required height
	tatHisa	LLL	v		cause to climb or mount; give a ride in a vehicle
	tatila	HHL	v		chase to or for
	taula	LLL	v		relate or tell a folktale
n	taya	HL	n	1	foreigner; stranger; one who's not a relative to
ma	te	H	n	6	saliva
	tebetebe	HHLH	n	7	whirling toy made from a stalk of grass and a seed
	tebula	HHL	v		spill; throw out, as of water
	tebulila	HHHL	v		spill onto
	techanana	LLHH	adj.		thin
i	teechani	HHLL	n	7	station
	teedzesa	HHHL	v		help listen to some problem; cause to listen
n	teedzi	HHL	n	1	good listener
	tekedza	LLL	v		tickle; poke on the ribs, as a result making one laugh
	tekelela	HHHL	v		to cry without cause
ma	telele	LLL	n	6	lots of okra
	tema	LH	adj.		black
	tema	HL	v		chop
	tematema	LHLL	adj.		pitch black
	tembezela	HHHL	v		pray
mi	tembezelo	HHHL	n	4	prayers; prayer sessions
i	teme	LH	n	7	calabash
n	temi	HL	n	1	chopper; one who cuts down trees
i	tempa	HH	n	7	stamp
	tempa	HL	v		affix a stamp; stamp
	tenda	LL	v		thank; show gratitude
	tendebuka	HHHL	v		turn around
	tendebula	HHHL	v		turn something around
	tendeka	HHL	v		point out; point at, as with a finger
	tendeleka	HHHL	v		move around
i	tendeleki	HHHL	n	7	wanderer
	tenga	HH	v		buy
	tengelana	HHHL	v		buy for each other
	tengesa	HHL	v		sell
ma	tengesego	HHHL	n	6	outlet or place where things are sold
	tengesela	HHHL	v		sell for/to
n	tengesi	HHL	n	1	seller
n	tengi	HL	n	1	buyer
	terabuli	LHHL	n	9	travelling rug
	tesela	HHL	v		shave off all the hair
	teswa	HL	v		have a sharp end, as a needle
i	tete	LL	n	7	spoilt child
	tetedza	HHL	v		advertise, as being for sale
	tetema	LLL	v		tremble with fear; shiver from cold
	tetHela	HHL	v		put domestic animals into an enclosure or a kraal
bu	tetHelo	HHL	n	14	place for keeping livestock
n	tetHi	LH	n	3	kick by a cow or goat refusing to be caught
	teuka	HHL	v		turn over immediately, as of a pot on fire
ma	teuko	HHL	n	6	afternoon
n	tewa	HL	n	3	giant raisin bush with edible berries
n	tewo	HL	n	3	foundation
	teya	HH	v		set a trap
n	teyi	HH	n	1	one who sets a trap
	tezwale	HLL	n	1a	father-in-law
	Thaabadza	HLHL	v		cause to be zealous, eager
	Thaabala	HLHL	v		be anxious; be in haste to accomplish something
	thabi	LH	n	5	new hut with the grass thatch only but the wall not yet built
	Thaedza-mesho	HHLLH	v		to look down upon
	Thaela	HHL	v		come short; come short of
	thai	HH	n	9	tie
bu	thaka	LH	n	14	peers; of same age
	tHako	HL	n	9	dress
	thako-ye-thunji	LHHLH	n	9	skirt
	thali	HL	n	9	thread; fibre
	tHalu	LH	n	9	calf of the leg
	Thama	HH	v		do; make
	thame	LH	n	9	secretary bird
	Thamisa	HHL	v		cause to do something
n	thamo	HL	n	3	kind; type; variety
	ThaN'wa	HL	v		be made to do something
	thanda-chukela	HLHHL	n	5	light brown sugar ant
	tHanga	LH	n	9/10	platform; playground
	tHango	LL	n	9	piece of meat
	ThanThanula	HHHL	v		unstitch what was sewn; undo a plait
	thanya	HH	v		wake up from sleep
	thapula	HHL	v		snap, as of something stretched out
ma	thatha	HH	n	6	problems; difficulties; hardships
	thathubo	HHL	n	10	examination
	tHatu	LH	num.		three
	tHeko	HL	n	9	hiccup
	tHele	HL	n	9	strip of skin, or cloth worn by a boy to cover nakedness; euphemism for male genitals
	tHema	LH	n	9	rhinoceros
	tHenda	LL	n	9	type of wild sweet root
	tHengo	HL	n	9	purchase; purchase price
	tHengu	LH	n	9	raven; black crow
	theuka	HHL	v		turn off the road
	Theula	HHL	v		to drive one or two animals out of a herd
	tHewa	HL	n	10	wild berries of Grewia flava
i	thibo	HH	n	7	lid
	thigama	HHL	v		kneel
	thikili	HHH	n	5	string of thatching grass; a chain of little bundles of thatch
	tHilili	LLL	n	9	wildcat
	thiwa	HL	n	5	trivet or three-legged stand for a pot
	thiyani	HLL	n	7	porridge cooked with fresh milk
ma	tho	H	n	6	vomit
	tho	H	n	9	sore; wound
	tHobedzano	LLLL	n	10	children born one after the other
	tHobo	HL	n	9	animal skin used as a sleeping mat, or sitting on
	thobolo	LLL	n	9	gun
	tHogwana	HLH	n	9	baby's sleeping mat
	Thokomela	HHHL	v		care for; take care; burden either physically or emotionally
	tHokotHoko	LHLL	n	10	dung of goats, buck, hares etc.
	tHongo	LH	n	9	castrated male goat
	tHongomana	LLLH	n	9	fontanelle of a baby's head
	tHonongola	LLLH	n	9	honey made by another type of small bees which is usually found in trees hollows high on the tree
	Thonya	HH	v		to curdled, as milk
	tHosula	LHL	n	9	syphilitic rashes; syphilis
	Thowa	HH	v		hate; dislike
	thowa	HH	n	9	whey
	tHozo	LL	n	9/10	hoof of an animal e.g. an ox, a horse etc.
n	tHu	L	n	1/2	person
chi	tHu	L	n	7	thing
	thubukana	HHHL	v		break a bond; cease being friends; separate by mutual agreement
	thubukano	HHHL	n	9	separation; divorce
	thubukanya	HHHL	v		separate or divide amongst others
	thubula	LLL	v		remove upper garments; undress
	thubula	HHL	v		cut, as a rope or string
	thubulidza	HHHL	v		take a short cut 
	thubulila	HHHL	v		treat in a mean manner; snap at someone
n	tHuchilume	LLHH	n	1	male person
	thudza	HL	v		 revived; to come round, after a faint
	thudzi	HH	n	5	shoulder
n	thudzi	HL	n	3	dry dusty cattle dung; manure
i	thuiwa	HHH	n	7	domestic animal
	thuka	LL	v		forcibly break out of a kraal, enclosure or a stockade, as of livestock
	thukila	LLL	v		break into a kraal, or enclosre, as of livestock
	thukwa	LL	adj.		dark brown, as an ox
	thukwana	LLL	adj.		brown, as a cow
n	thula	HL	n	3	Sclerocarya caffra tree
	thula	HH	v		kick
	thulana	HHL	v		collide
	thulanya	HHL	v		cause to collide
	thulila	HHL	v		thatch
n	thulili	HHL	n	1	thatcher; one who roofs houses
	thulilika	HHHL	v		 be well thatched
	thulunula	HHHL	v		pull down, as of the roof of a house 
	thuma	HH	v		sew
i	thumba	LL	n	7	goat whose kid has died and produces a lot a milk
	thumbi	LH	n	9	puff adder
n	thumi	HL	n	1	tailor
	thumo	HL	n	5	bullet
	thumugwa	HHL	v		be provoked or vexed
	thumula	HHL	v		provoke 
	Thunama	HHL	v		sit as one in a state of despair; look sullen or morose
	thunde	HH	n	5	sorghum
ma	thunde	HH	n	6	sorghum
	tHundu	HL	n	9	possessions; goods; merchandise
	tHungo	HH	n	10	rafters
	thunji	LH	n	10	loins; waist
n	thuntana	LLH	n	1/2	old man
